"";"counting_id";"obj_parent";"repeated_id";"kp_pd_to_parent";"rent_pd_to_parent";"td_to_parent";"match_type";"wohnflaeche";"etage";"zimmeranzahl";"latlon_utm"
"1";9981;9981;"0";0;0;0;"exact";126.64;2;3.5;"5825234.98807975800847.555101465"
"2";4128;4128;"0";0;0;0;"exact";126.6;3;3.5;"5825234.98807975800847.555101465"
"3";4127;4127;"0";0;0;1;"exact";-5;-9;-5;"5825234.98807975800847.555101465"
"4";30968;30968;"0";0;0;0;"range";115;-9;4;"5825234.98807975800847.555101465"
"5";30968;30968;"0";0;0;0;"range";115;-9;4;"5825234.98807975800847.555101465"
"6";9981;9981;"0";0;0;0;"range";126.64;2;3.5;"5825234.98807975800847.555101465"
"7";30968;30968;"0";0;0;0;"exact";115;-9;4;"5825234.98807975800847.555101465"
"8";30968;30968;"0";0;0;0;"range";115;-9;4;"5825234.98807975800847.555101465"
