"";"mietekalt";"mietewarm";"kaufpreis";"wohnflaeche";"etage";"zimmeranzahl";"latlon_utm";"ajahrmonat";"ejahrmonat";"counting_id";"match_type"
"1";-8;-8;139000;126;3;4;"5825234.98807975800847.555101465";"200713";"200714";5780;"range"
"2";-8;-8;145000;126.64;2;3.5;"5825234.98807975800847.555101465";"200713";"200713";9981;"range"
"3";-8;-8;126830;115;0;4.5;"5825234.98807975800847.555101465";"200713";"200715";14041;"range"
"4";-8;-8;126830;115;0;4.5;"5825234.98807975800847.555101465";"200715";"200717";21597;"range"
"5";-8;-8;134000;122;-9;4.5;"5825234.98807975800847.555101465";"200716";"200716";27969;"range"
"6";-8;-8;126830;115;-9;4;"5825234.98807975800847.555101465";"200717";"200717";30968;"range"
